,Date,Open,High,Low,Close,Adj Close,Volume
749,2008-01-24,12952.5,13134.769531,12952.5,13092.780273,13092.780273,189700.0
750,2008-01-25,13258.769531,13647.160156,13248.889648,13629.160156,13629.160156,178800.0
751,2008-01-28,13482.839844,13501.860352000002,13087.910156,13087.910156,13087.910156,152900.0
752,2008-01-29,13246.69043,13506.80957,13224.660156,13478.860352000002,13478.860352000002,147000.0
753,2008-01-30,13500.519531,13514.129883000001,13271.129883,13345.030273,13345.030273,152400.0
754,2008-01-31,13227.480469,13622.679688,13154.769531,13592.469727000002,13592.469727000002,165300.0
755,2008-02-01,13517.740234,13648.389647999998,13444.080078,13497.160156,13497.160156,142600.0
756,2008-02-04,13642.599609,13889.240234,13642.599609,13859.700195,13859.700195,138100.0
757,2008-02-05,13806.169922,13821.919922,13665.639647999998,13745.5,13745.5,133700.0
758,2008-02-06,13548.530272999998,13552.19043,13099.240234,13099.240234,13099.240234,176700.0
759,2008-02-07,13077.25,13244.19043,12972.549805,13207.150391,13207.150391,163000.0
760,2008-02-08,13143.080078,13279.519531,12997.879883,13017.240234,13017.240234,170500.0
761,2008-02-12,12998.870117,13138.280273,12923.419922,13021.959961,13021.959961,147600.0
762,2008-02-13,13162.950195,13240.259766,13036.620117,13068.299805,13068.299805,138800.0
763,2008-02-14,13254.589844,13626.450195,13251.860352,13626.450195,13626.450195,147200.0
764,2008-02-15,13508.530272999998,13666.679688,13356.389648,13622.55957,13622.55957,154800.0
765,2008-02-18,13627.30957,13822.450195,13627.30957,13635.400391,13635.400391,147100.0
766,2008-02-19,13761.759766,13853.209961000002,13691.879883000001,13757.910156,13757.910156,147500.0
767,2008-02-20,13729.75,13729.75,13310.370117,13310.370117,13310.370117,163600.0
768,2008-02-21,13462.719727000002,13783.969727000002,13439.589844,13688.280272999998,13688.280272999998,142900.0
769,2008-02-22,13530.19043,13540.620116999999,13378.719727,13500.459961000002,13500.459961000002,144200.0
770,2008-02-25,13612.30957,13969.179688,13612.30957,13914.570313,13914.570313,152000.0
771,2008-02-26,14036.889647999998,14053.849609,13803.459961000002,13824.719727000002,13824.719727000002,133800.0
772,2008-02-27,14007.320313,14105.469727000002,13956.44043,14031.299805,14031.299805,127300.0
773,2008-02-28,13877.879883000001,13962.299805,13794.709961000002,13925.509766,13925.509766,118400.0
774,2008-02-29,13735.44043,13738.55957,13533.25,13603.019531,13603.019531,126600.0
775,2008-03-03,13412.870117,13413.629883,12992.179688,12992.179688,12992.179688,142400.0
776,2008-03-04,13080.290039,13110.389648,12883.070313,12992.280273,12992.280273,138600.0
777,2008-03-05,12973.030273,13044.009766,12919.80957,12972.05957,12972.05957,128900.0
778,2008-03-06,13068.889648,13365.219727,13050.549805,13215.419922,13215.419922,134300.0
779,2008-03-07,13024.610352,13024.610352,12744.519531,12782.799805,12782.799805,144100.0
780,2008-03-10,12716.839844,12777.070313,12527.070313,12532.129883,12532.129883,151200.0
781,2008-03-11,12392.30957,12674.889648,12352.790039,12658.280273,12658.280273,162200.0
782,2008-03-12,12841.879883,13071.219727,12799.419922,12861.129883,12861.129883,141100.0
783,2008-03-13,12741.259766,12772.370117,12351.719727,12433.44043,12433.44043,143400.0
784,2008-03-14,12509.80957,12582.570313,12167.089844,12241.599609,12241.599609,231900.0
785,2008-03-17,12089.030273,12132.69043,11691.0,11787.509766,11787.509766,172500.0
786,2008-03-18,11828.990234,11995.05957,11793.599609,11964.160156,11964.160156,157800.0
787,2008-03-19,12142.330078,12374.75,12142.330078,12260.44043,12260.44043,143900.0
788,2008-03-21,12331.639648,12496.410156,12308.030273,12482.570313,12482.570313,122100.0
789,2008-03-24,12473.05957,12582.459961,12438.200195,12480.089844,12480.089844,108400.0
790,2008-03-25,12639.740234,12791.240234,12572.769531,12745.219727,12745.219727,130200.0
791,2008-03-26,12648.969727,12711.780273,12591.009766,12706.629883,12706.629883,107400.0
792,2008-03-27,12618.419922,12621.55957,12475.879883,12604.580078,12604.580078,114300.0
793,2008-03-28,12594.339844,12874.450195,12507.679688,12820.469727,12820.469727,122600.0
794,2008-03-31,12709.280273,12709.280273,12430.629883,12525.540039,12525.540039,124100.0
795,2008-04-01,12539.799805,12779.139648,12521.839844,12656.419922,12656.419922,114500.0
796,2008-04-02,12836.410156,13189.360352,12836.410156,13189.360352,13189.360352,145000.0
797,2008-04-03,13190.160156,13389.900391,13137.099609,13389.900391,13389.900391,142600.0
798,2008-04-04,13286.349609,13360.80957,13220.0,13293.219727,13293.219727,122000.0
799,2008-04-07,13240.55957,13485.900391,13228.860352,13450.230469,13450.230469,125200.0
800,2008-04-08,13373.959961,13402.910156,13225.759766,13250.429688,13250.429688,110600.0
801,2008-04-09,13295.160156,13348.379883,12998.540039,13111.889648,13111.889648,117300.0
802,2008-04-10,13029.80957,13062.459961,12898.490234,12945.299805,12945.299805,128000.0
803,2008-04-11,13061.769531,13329.400391,13040.349609,13323.730469,13323.730469,147600.0
804,2008-04-14,13132.669922,13132.669922,12858.629883,12917.509766,12917.509766,101000.0
805,2008-04-15,12952.650391,13052.820313,12875.919922,12990.580078,12990.580078,112400.0
806,2008-04-16,13130.660156,13222.429688,13112.070313,13146.129883,13146.129883,121100.0
807,2008-04-17,13315.830078,13495.94043,13313.05957,13398.299805,13398.299805,127100.0
808,2008-04-18,13426.259766,13485.040038999998,13323.740234,13476.450195,13476.450195,102400.0
809,2008-04-21,13639.849609,13739.44043,13639.769531,13696.549805,13696.549805,124500.0
810,2008-04-22,13587.509766,13608.169922,13519.120116999999,13547.820313,13547.820313,100800.0
811,2008-04-23,13455.55957,13717.049805,13449.040038999998,13579.160156,13579.160156,112200.0
812,2008-04-24,13613.830078,13654.780272999998,13497.160156,13540.870116999999,13540.870116999999,108700.0
813,2008-04-25,13614.530272999998,13886.370116999999,13614.530272999998,13863.469727000002,13863.469727000002,127100.0
814,2008-04-28,13907.969727000002,14003.280272999998,13745.610352000002,13894.370116999999,13894.370116999999,139400.0
815,2008-04-30,13802.94043,13976.099609,13766.240234,13849.990234,13849.990234,143200.0
816,2008-05-01,13802.589844,13884.629883000001,13727.070313,13766.860352000002,13766.860352000002,110700.0
817,2008-05-02,13944.259766,14072.919922,13944.259766,14049.259766,14049.259766,114100.0
818,2008-05-07,14147.570313,14208.669922,14022.790038999998,14102.480469,14102.480469,139800.0
819,2008-05-08,14008.19043,14036.30957,13930.280272999998,13943.259766,13943.259766,120300.0
820,2008-05-09,13941.299805,13946.509766,13639.990234,13655.339844,13655.339844,130400.0
821,2008-05-12,13565.910156,13793.410156,13540.679688,13743.360352000002,13743.360352000002,103000.0
822,2008-05-13,13814.389647999998,13976.919922,13734.5,13953.730469,13953.730469,129200.0
823,2008-05-14,13961.959961000002,14121.94043,13877.400391,14118.549805,14118.549805,142500.0
824,2008-05-15,14167.019531,14352.839844,14167.019531,14251.740234,14251.740234,160100.0
825,2008-05-16,14363.620116999999,14392.530272999998,14194.910156,14219.480469,14219.480469,144100.0
826,2008-05-19,14294.519531,14343.19043,14219.080078,14269.610352000002,14269.610352000002,133800.0
827,2008-05-20,14220.120116999999,14286.669922,14121.919922,14160.089844,14160.089844,159800.0
828,2008-05-21,14002.519531,14041.240234,13847.179688,13926.299805,13926.299805,160200.0
829,2008-05-22,13772.650391,13984.80957,13658.019531,13978.459961000002,13978.459961000002,159300.0
830,2008-05-23,13945.099609,14157.240234,13925.379883000001,14012.200195,14012.200195,146500.0
831,2008-05-26,13875.980469,13883.509766,13670.919922,13690.19043,13690.19043,117800.0
832,2008-05-27,13750.820313,13931.230469,13750.820313,13893.30957,13893.30957,100200.0
833,2008-05-28,13937.139647999998,13979.389647999998,13665.570313,13709.44043,13709.44043,132500.0
834,2008-05-29,13832.650391,14147.889647999998,13832.650391,14124.469727000002,14124.469727000002,128700.0
835,2008-05-30,14195.660156,14366.629883000001,14192.169922,14338.540038999998,14338.540038999998,166700.0
836,2008-06-02,14342.959961000002,14461.030272999998,14189.969727000002,14440.139647999998,14440.139647999998,154800.0
837,2008-06-03,14275.610352000002,14289.469727000002,14127.75,14209.169922,14209.169922,152600.0
838,2008-06-04,14270.070313,14435.570313,14250.110352000002,14435.570313,14435.570313,168900.0
839,2008-06-05,14392.589844,14392.589844,14262.019531,14341.120116999999,14341.120116999999,152100.0
840,2008-06-06,14530.360352000002,14601.269531,14489.44043,14489.44043,14489.44043,150700.0
841,2008-06-09,14275.339844,14278.839844,14117.790038999998,14181.379883000001,14181.379883000001,122000.0
842,2008-06-10,14281.360352000002,14308.889647999998,13983.55957,14021.169922,14021.169922,120700.0
843,2008-06-11,14137.540038999998,14194.480469,13993.570313,14183.480469,14183.480469,131100.0
844,2008-06-12,14010.320313,14010.320313,13826.070313,13888.599609,13888.599609,133400.0
845,2008-06-13,14011.120116999999,14041.339844,13810.379883000001,13973.730469,13973.730469,230400.0
846,2008-06-16,14118.230469,14369.089844,14103.5,14354.370116999999,14354.370116999999,119900.0
847,2008-06-17,14387.0,14387.0,14299.669922,14348.370116999999,14348.370116999999,110700.0
848,2008-06-18,14301.360352000002,14469.990234,14301.360352000002,14452.820313,14452.820313,110900.0
849,2008-06-19,14324.709961000002,14324.709961000002,14069.160156,14130.169922,14130.169922,130900.0
850,2008-06-20,14171.019531,14190.0,13903.209961000002,13942.080078,13942.080078,129700.0
851,2008-06-23,13769.44043,13920.75,13667.839844,13857.469727000002,13857.469727000002,117700.0
852,2008-06-24,13766.280272999998,13877.490234,13738.389647999998,13849.55957,13849.55957,100100.0
853,2008-06-25,13820.780272999998,13833.230469,13635.679688,13829.919922,13829.919922,123500.0
854,2008-06-26,13845.410156,13950.55957,13798.049805,13822.320313,13822.320313,114400.0
855,2008-06-27,13605.259766,13605.55957,13453.349609,13544.360352000002,13544.360352000002,127700.0
856,2008-06-30,13584.509766,13598.480469,13454.280272999998,13481.379883000001,13481.379883000001,123700.0
857,2008-07-01,13514.860352000002,13576.410156,13448.349609,13463.200195,13463.200195,121400.0
858,2008-07-02,13489.870116999999,13489.870116999999,13247.049805,13286.370117,13286.370117,136500.0
859,2008-07-03,13161.780273,13326.950195,13118.889648,13265.400391,13265.400391,154200.0
860,2008-07-04,13285.490234,13288.549805,13135.459961,13237.889648,13237.889648,117400.0
861,2008-07-07,13212.799805,13409.299805,13169.549805,13360.040039,13360.040039,107100.0
862,2008-07-08,13286.5,13294.969727,12984.540039,13033.099609,13033.099609,121800.0
863,2008-07-09,13169.889648,13284.650391,13038.769531,13052.129883,13052.129883,122900.0
864,2008-07-10,12934.30957,13139.849609,12930.320313,13067.209961,13067.209961,120100.0
865,2008-07-11,13063.5,13164.099609,12918.219727,13039.69043,13039.69043,146300.0
866,2008-07-14,13022.290039,13185.900391,12969.929688,13010.160156,13010.160156,123800.0
867,2008-07-15,12902.129883,12902.129883,12715.80957,12754.55957,12754.55957,118800.0
868,2008-07-16,12725.120117,12815.400391,12671.339844,12760.799805,12760.799805,122400.0
869,2008-07-17,12889.799805,12929.740234,12852.929688,12887.950195,12887.950195,111100.0
870,2008-07-18,12976.219727,12999.639648,12762.330078,12803.700195,12803.700195,113200.0
871,2008-07-22,12944.55957,13184.959961,12921.019531,13184.959961,13184.959961,112400.0
872,2008-07-23,13259.650391,13388.629883,13238.549805,13312.929688,13312.929688,127300.0
873,2008-07-24,13411.280273,13603.30957,13393.570313,13603.30957,13603.30957,126200.0
874,2008-07-25,13452.370116999999,13469.830078,13324.219727,13334.759766,13334.759766,109600.0
875,2008-07-28,13407.360352,13468.94043,13327.120117,13353.780273,13353.780273,93600.0
876,2008-07-29,13220.330078,13220.330078,13018.219727,13159.450195,13159.450195,106500.0
877,2008-07-30,13267.370117,13372.280273,13264.080078,13367.790039,13367.790039,109000.0
878,2008-07-31,13410.400391,13467.669922,13256.379883,13376.80957,13376.80957,137000.0
879,2008-08-01,13276.570313,13294.169922,13039.209961,13094.589844,13094.589844,135000.0
880,2008-08-04,13083.280273,13113.94043,12910.169922,12933.179688,12933.179688,142000.0
881,2008-08-05,12957.009766,13049.580078,12893.339844,12914.660156,12914.660156,144600.0
882,2008-08-06,13059.429688,13295.509766,13048.969727,13254.889648,13254.889648,156300.0
883,2008-08-07,13257.990234,13257.990234,13034.150391,13124.990234,13124.990234,135900.0
884,2008-08-08,13026.530273,13259.730469,12962.820313,13168.410156,13168.410156,162300.0
885,2008-08-11,13259.459961,13468.80957,13259.459961,13430.910156,13430.910156,113800.0
886,2008-08-12,13397.990234,13420.099609,13276.150391,13303.599609,13303.599609,125200.0
887,2008-08-13,13205.639648,13205.639648,12953.339844,13023.049805,13023.049805,125200.0
888,2008-08-14,12942.610352,13090.679688,12926.980469,12956.799805,12956.799805,116400.0
889,2008-08-15,12991.910156,13029.580078,12952.209961,13019.410156,13019.410156,94700.0
890,2008-08-18,12971.490234,13270.370117,12934.219727,13165.450195,13165.450195,114100.0
891,2008-08-19,13016.5,13016.5,12782.099609,12865.049805,12865.049805,103300.0
892,2008-08-20,12753.980469,12923.660156,12753.980469,12851.69043,12851.69043,110400.0
893,2008-08-21,12885.339844,12885.339844,12723.830078,12752.209961,12752.209961,105200.0
894,2008-08-22,12727.370117,12732.69043,12631.94043,12666.040039,12666.040039,87900.0
895,2008-08-25,12797.540039,12949.330078,12797.540039,12878.660156,12878.660156,86600.0
896,2008-08-26,12711.030273,12801.209961,12656.089844,12778.709961,12778.709961,87100.0
897,2008-08-27,12734.389648,12783.629883,12681.980469,12752.959961,12752.959961,86900.0
898,2008-08-28,12827.719727,12847.459961,12718.530273,12768.25,12768.25,89700.0
899,2008-08-29,12925.450195,13079.370117,12918.490234,13072.870117,13072.870117,120700.0
900,2008-09-01,12936.80957,12940.549805,12834.179688,12834.179688,12834.179688,87500.0
901,2008-09-02,12779.889648,12920.519531,12491.070313,12609.469727,12609.469727,126600.0
902,2008-09-03,12703.360352,12767.5,12647.290039,12689.589844,12689.589844,129300.0
903,2008-09-04,12627.639648,12660.570313,12514.259766,12557.660156,12557.660156,145200.0
904,2008-09-05,12385.650391,12385.650391,12163.330078,12212.230469,12212.230469,155700.0
905,2008-09-08,12359.929688,12671.759766,12352.349609,12624.459961,12624.459961,135100.0
906,2008-09-09,12529.959961,12529.959961,12335.740234,12400.650391,12400.650391,119600.0
907,2008-09-10,12249.139648,12404.669922,12159.969727,12346.629883,12346.629883,155200.0
908,2008-09-11,12237.519531,12259.019531,12081.509766,12102.5,12102.5,131600.0
909,2008-09-12,12256.780273,12277.570313,12059.089844,12214.759766,12214.759766,194600.0
910,2008-09-16,12028.450195,12028.450195,11551.400391,11609.719727,11609.719727,184000.0
911,2008-09-17,11737.620117,11880.030273,11708.700195,11749.790039,11749.790039,158100.0
912,2008-09-18,11576.94043,11577.879883,11301.459961,11489.299805,11489.299805,163000.0
913,2008-09-19,11631.599609,11920.860352,11615.200195,11920.860352,11920.860352,184700.0
914,2008-09-22,12037.889648,12263.950195,12037.889648,12090.589844,12090.589844,150500.0
915,2008-09-24,12031.980469,12115.030273,11904.599609,12115.030273,12115.030273,152600.0
916,2008-09-25,11925.709961,12025.410156,11835.280273,12006.530273,12006.530273,113500.0
917,2008-09-26,12026.339844,12082.639648,11788.730469,11893.160156,11893.160156,131400.0
918,2008-09-29,11883.25,12062.669922,11721.049805,11743.610352,11743.610352,122500.0
919,2008-09-30,11565.700195,11565.700195,11160.830078,11259.860352,11259.860352,165000.0
920,2008-10-01,11396.610352,11456.639648,11314.280273,11368.259766,11368.259766,142400.0
921,2008-10-02,11423.129883,11452.389648,11143.790039,11154.759766,11154.759766,156400.0
922,2008-10-03,11052.099609,11099.730469,10938.139648,10938.139648,10938.139648,174400.0
923,2008-10-06,10817.269531,10839.5,10374.379883,10473.089844,10473.089844,185000.0
924,2008-10-07,10328.540039,10363.139648,9916.209961,10155.900391,10155.900391,210800.0
925,2008-10-08,10011.639648,10011.639648,9159.80957,9203.320313,9203.320313,205500.0
926,2008-10-09,9168.160156,9443.450195,9100.929688,9157.490234,9157.490234,213500.0
927,2008-10-10,9016.339844,9016.339844,8115.410156,8276.429688,8276.429688,247300.0
928,2008-10-14,8407.94043,9455.620117,8407.94043,9447.570313,9447.570313,169300.0
929,2008-10-15,9390.5,9601.299805,9269.490234,9547.469727,9547.469727,185000.0
